"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MODEL828",3859.74170367401,-3.49836879486397,0.409869501636456,-8.5353235136947,1.39763797646543e-17,8.08724156382043e-16
"MODEL967",633.928171599225,4.88795895400648,0.575129525184341,8.49888371222081,1.91422546835395e-17,1.05948218313677e-15
"MODEL1393",557.877804563444,5.02686845551256,0.59479503728683,8.45142972013137,2.87757021746064e-17,1.52631120284475e-15
"MODEL1372",838.604871842994,5.7131930864548,0.692293950677027,8.25255381889094,1.55045037292056e-16,7.89489329891151e-15
"MODEL697",588.806530076328,4.85520287633948,0.607571460814701,7.99116349182871,1.33671146754279e-15,6.54474499300756e-14
"MODEL528",316.228988279836,-4.1202105078373,0.516566696574078,-7.97614429107209,1.50975433492129e-15,7.1182121050178e-14
"MODEL327",1376.80792695342,6.25098596378226,0.800858581999046,7.80535553253235,5.93340368341805e-15,2.69757960321113e-13
"MODEL1291",2064.10925355423,-3.23219414370399,0.41441739998645,-7.79936880982718,6.2217582532974e-15,2.73113732980952e-13
"MODEL845",3247.71140019339,4.17258462216289,0.538238135613091,7.75230208727225,9.0241397299247e-15,3.82924329206472e-13
"MODEL793",2311.60230794857,-3.02529882747202,0.39581793407047,-7.64315754054086,2.11958383410087e-14,8.70396845422711e-13
"MODEL932",1421.92248762802,-3.85284090280721,0.511239889912056,-7.53626815675511,4.83611596419288e-14,1.92386738200548e-12
"MODEL561",463.558742260158,4.16271143131399,0.554854939446108,7.50234184716725,6.26876276065749e-14,2.4182227255506e-12
"MODEL1379",10112.1330474961,-3.04017468101476,0.405952346908146,-7.48899397717401,6.94035252083915e-14,2.5985496350083e-12
"MODEL383",2673.77818455136,-3.24527725771366,0.434280675975791,-7.47276459036959,7.85272583999253e-14,2.856148569803e-12
"MODEL798",2494.4329485256,-2.92168779157367,0.39585372999237,-7.38072568276667,1.57429073369433e-13,5.56686695553578e-12
"MODEL1125",574.137867127118,8.08133497557102,1.11254239193986,7.26384453672836,3.76240408908996e-13,1.29447037984095e-11
"MODEL548",903.427288883187,-3.60283321138358,0.496535321070668,-7.25594546550055,3.988657747185e-13,1.33620034530697e-11
"MODEL400",488.463843248809,-4.20746379975125,0.580225461613688,-7.25142910490297,4.12396871574375e-13,1.34610568593379e-11
"MODEL139",284.355876733825,-3.4711979573525,0.48003900573881,-7.23107479986987,4.79186313404274e-13,1.48781506576498e-11
"MODEL639",229.109127928106,-5.76154779507245,0.796714749164546,-7.23163189976607,4.77224274708956e-13,1.48781506576498e-11
"MODEL42",711.213312382334,-3.34263079894982,0.464995347059803,-7.18852526178057,6.54948704643432e-13,1.98511833574069e-11
"MODEL1332",1341.96429768552,-3.34668552357438,0.485781523878856,-6.8892812078398,5.60749954543862e-12,1.66008067938218e-10
"MODEL14",226.831513586967,-3.4079941262335,0.497024492485548,-6.8567931314423,7.04234940002037e-12,1.9922023969391e-10
"MODEL988",787.707185802532,4.93833757566694,0.719982620325166,6.85896775318916,6.9359891951541e-12,1.9922023969391e-10
"MODEL1139",6338.63234513586,-3.95641302150264,0.578475524872695,-6.83937842032872,7.95375276096979e-12,2.20111462276403e-10
"MODEL616",220.076364023268,5.36601659513617,0.78813753530928,6.80847739732437,9.86370814750785e-12,2.67159584505904e-10
"MODEL29",3868.74690378664,14.2777832567746,2.10139507618634,6.79443071822852,1.08741057284205e-11,2.88390345672484e-10
"MODEL741",769.849854051181,-4.3259255440905,0.648504275940433,-6.6706199243131,2.54725125747622e-11,6.61765479748413e-10
"MODEL1313",225.007392775334,4.54067340086614,0.681657008380944,6.66122895391488,2.71547225672143e-11,6.91359236561277e-10
"MODEL1047",3285.03223177976,14.0418846819092,2.12905482462171,6.59536077677293,4.24222971422139e-11,1.05889380905957e-09
"MODEL555",255.437732097028,5.58198058305938,0.848136099832775,6.58146797920755,4.65825840357945e-11,1.1403774899532e-09
"MODEL312",588.236952856303,5.10418913825857,0.780531603660272,6.53937536202593,6.17762999320692e-11,1.48379678893442e-09
"MODEL696",242.213901660108,3.89917732861768,0.598147518246461,6.51875533990107,7.08931761815577e-11,1.67124098665042e-09
"MODEL529",163.502618222597,-4.27690788441166,0.667244723010436,-6.40980398483386,1.45706849040074e-10,3.37245125141844e-09
"MODEL413",75.1771391889197,-10.8340975652722,1.7019006781805,-6.36588121984589,1.94171658574335e-10,4.41393788152016e-09
"MODEL293",1846.49341344786,13.2107387977145,2.08093220921003,6.3484714875597,2.17464730352973e-10,4.8567123112164e-09
"MODEL1087",5057.63135471444,14.6643928473862,2.34079811449647,6.26469782104239,3.73549072457217e-10,8.19875809031099e-09
"MODEL527",2176.07773427761,-3.43014145172871,0.552440215267337,-6.2090726868405,5.32981677994676e-10,1.14997572218173e-08
"MODEL332",231.392555072986,-4.14883631655995,0.690851734206513,-6.00539321411005,1.90868754672553e-09,4.04959874496934e-08
"MODEL88",430.159830044151,-2.81638271337044,0.471603813402779,-5.97192523327853,2.34469988502289e-09,4.89311959612154e-08
"MODEL877",220.294976442698,4.87663694373068,0.818745373761445,5.95623144876733,2.58120710557426e-09,5.29980104096134e-08
"MODEL702",766.643289951709,-5.12501600359899,0.865017563630289,-5.92475369180994,3.12765821643687e-09,6.31985541194307e-08
"MODEL173",1459.0886889154,-2.57907303754437,0.43905071239354,-5.87420305842172,4.24882318551995e-09,8.45117486744827e-08
"MODEL384",11768.6321506087,3.11545556353604,0.533867402013068,5.83563550010454,5.35859274822467e-09,1.04945977976769e-07
"MODEL296",533.365980900514,3.31398752249007,0.569795703385783,5.81609777469017,6.02372409826546e-09,1.16184860258969e-07
"MODEL672",53.6475359470225,-10.3473114040703,1.80786706422009,-5.72349129471759,1.04356917281131e-08,1.98278142834149e-07
"MODEL939",809.142289502157,6.57286698127873,1.15133435890584,5.70891238538662,1.13700399148011e-08,2.12853835463849e-07
"MODEL1013",539.991884775186,3.87482009593388,0.68231601303299,5.67892299450773,1.35545479970088e-08,2.48338178384493e-07
"MODEL1230",158.237517015311,4.61838218167835,0.813431813054225,5.67765128872637,1.36556735953767e-08,2.48338178384493e-07
"MODEL785",282.160744387721,2.90818334191688,0.51323885034102,5.66633515756756,1.45884042569214e-08,2.61563924212126e-07
"MODEL533",2011.22372926699,-2.99188978430719,0.528900474065409,-5.65681055513136,1.5421181705291e-08,2.72655059872715e-07
"MODEL1058",193.961149167615,3.29989840748768,0.586434705815262,5.62705169862032,1.83315799494706e-08,3.19672620214741e-07
"MODEL214",648.346678880192,11.700653468576,2.08488790052461,5.61212594002385,1.99855893443458e-08,3.39222069804696e-07
"MODEL627",251.94284061216,3.26057092820873,0.580837444091458,5.61356875555585,1.9819579699103e-08,3.39222069804696e-07
"MODEL126",279.987019915487,3.18785257825578,0.571963265440578,5.57352678200445,2.49633255009395e-08,4.18135702140736e-07
"MODEL329",253.531507610029,-2.93539260939942,0.527239492627963,-5.56747483912539,2.5845738350682e-08,4.27293830135302e-07
"MODEL1412",303.976631778301,-3.23470334169283,0.582165191958344,-5.55633244030207,2.75501935871042e-08,4.49633287645945e-07
"MODEL779",250.533974468019,6.88171626897891,1.24353868113624,5.53397845468788,3.13047444642054e-08,5.04442274720677e-07
"MODEL706",1090.6420371051,2.93569147297988,0.532055606598985,5.51764033038851,3.43581704677858e-08,5.46724387568641e-07
"MODEL124",330.171430983214,-2.60266680529861,0.471945458059696,-5.51476184557199,3.49252567542558e-08,5.48887059853921e-07
"MODEL1082",267.897545879373,2.9215103836377,0.531132989793288,5.50052517877816,3.78661671654139e-08,5.87849156116731e-07
"MODEL905",300.587845012087,3.46167050810166,0.63330582015573,5.46603299374452,4.60218712343471e-08,7.05853519052094e-07
"MODEL102",612.173988976774,11.6178630345694,2.13234582751838,5.44839532342193,5.08262897581309e-08,7.70260319786912e-07
"MODEL337",195.838434997078,4.93138548592488,0.906993021927624,5.43707103219411,5.41635494058494e-08,8.11178804631133e-07
"MODEL1004",434.950929853999,2.53565413502011,0.469572233937736,5.39992348729107,6.6669325200491e-08,9.75517827358909e-07
"MODEL720",1611.99564656523,3.48536197327432,0.645241738208183,5.40163750558522,6.60352906553538e-08,9.75517827358909e-07
"MODEL55",327.697813787024,3.91997886961141,0.727169820005703,5.3907337210181,7.01705863971344e-08,1.01508132367673e-06
"MODEL1096",515.485320798195,11.3699486123172,2.11101075947006,5.38602115660056,7.20344874981741e-08,1.0303359841031e-06
"MODEL749",296.73433430499,-3.71083598378127,0.695648937066219,-5.33435154724894,9.58865967982436e-08,1.3562626413796e-06
"MODEL1144",227.036467571235,2.87328485873652,0.539346594755485,5.32734402455833,9.96592951442397e-08,1.37898133389801e-06
"MODEL874",1363.26009264839,-4.27936720998953,0.803193397454741,-5.32794122007293,9.9332257196726e-08,1.37898133389801e-06
"MODEL21",40.5736958855953,-5.12684938109286,0.963929987412905,-5.31869476833357,1.04514299463287e-07,1.43060971200822e-06
"MODEL964",90.2178225514044,-3.95891346694128,0.74577552568889,-5.30845184720207,1.10560284698879e-07,1.49726853640078e-06
"MODEL934",551.622655913826,3.49081436460859,0.659180660502471,5.29568686367052,1.1856987255075e-07,1.58883629218005e-06
"MODEL402",5081.88454732224,-2.91573525476222,0.550872691914901,-5.29293845484838,1.20366437678927e-07,1.59610911630494e-06
"MODEL763",274.901634672469,2.86865749036053,0.543525535134475,5.27787068854233,1.30693636052203e-07,1.71518555355107e-06
"MODEL695",1397.21464897512,2.13077264552041,0.406715573554976,5.23897481204366,1.61471072692905e-07,2.09747628100069e-06
"MODEL617",429.548935608094,11.1068038284292,2.12866096132965,5.21774205953939,1.81117446907011e-07,2.32891424154167e-06
"MODEL848",273.370486699568,6.00426433483807,1.15140832161922,5.21471334026341,1.84101711542184e-07,2.343614787932e-06
"MODEL969",298.386615953503,2.53455599414713,0.488098333416898,5.19271593575038,2.07248276444401e-07,2.61214906845269e-06
"MODEL1221",380.025032750003,10.9307001036791,2.11737207652113,5.16238984394201,2.4381685547254e-07,3.04292997075043e-06
"MODEL1048",588.396332210491,11.5609504152167,2.24466630101752,5.15040939937311,2.59918467653084e-07,3.18150201271515e-06
"MODEL377",816.496005887778,2.29620147989295,0.445795622699659,5.15079413742907,2.59385781295814e-07,3.18150201271515e-06
"MODEL699",3188.59828103454,-3.10429211287844,0.603452905292693,-5.1442160368302,2.68640253394151e-07,3.25694326257861e-06
"MODEL178",180.609448728104,4.81258282615957,0.93738568363414,5.13404771395881,2.83576153905277e-07,3.36346705524699e-06
"MODEL464",238.729121919117,7.814852990766,1.52251060707535,5.13287260820985,2.85353057318676e-07,3.36346705524699e-06
"MODEL739",2524.78405613619,3.5420857020546,0.689636570528727,5.13616280432891,2.80404768709633e-07,3.36346705524699e-06
"MODEL1302",386.03085808465,2.3761373487069,0.463869426023264,5.12242716463863,3.01627620845426e-07,3.52267854436906e-06
"MODEL1357",623.840735919712,11.6454505072746,2.27551400173896,5.11772307196313,3.09246206610877e-07,3.57882200923314e-06
"MODEL1288",391.013355065272,10.9716249827003,2.14793284129525,5.10799256464843,3.25599460419236e-07,3.73412714516835e-06
"MODEL1206",1351.90665291444,2.85240072855697,0.560234711628675,5.09143876548575,3.55356639367703e-07,3.94132899243808e-06
"MODEL244",57.330511364796,-8.15366966549639,1.60029144395524,-5.09511545306021,3.4852879078423e-07,3.94132899243808e-06
"MODEL509",865.459451443167,-2.31028878642672,0.453573334006231,-5.09352868260766,3.51459850239027e-07,3.94132899243808e-06
"MODEL843",296.580846738235,4.10262245589463,0.805846998925298,5.09106872814072,3.56050930188829e-07,3.94132899243808e-06
"MODEL705",888.87648867422,-2.51275796587995,0.494449815298647,-5.08192720096829,3.73624613126645e-07,4.1002080388812e-06
"MODEL1282",1026.73389834511,2.96647706555299,0.584616265932367,5.07422943633281,3.89069386872112e-07,4.23320794434358e-06
"MODEL1207",301.500376888577,10.5958161902092,2.09005716862361,5.06962984040621,3.9859014355765e-07,4.30004451482109e-06
"MODEL869",189.088521724791,6.4757517515876,1.27858050130889,5.06479783240737,4.08833991204958e-07,4.37349303196565e-06
"MODEL1164",1053.00289103373,-3.10891554384573,0.614464111486593,-5.05955593781422,4.20233987009211e-07,4.45798221218938e-06
"MODEL1098",570.577681573336,11.5162423158537,2.29293392279186,5.02249201400083,5.10053186870282e-07,5.35090627881747e-06
"MODEL1109",130.394024408855,3.31076964368214,0.659324643610698,5.02145593337931,5.12812699148257e-07,5.35090627881747e-06
"MODEL804",522.841027936826,-2.26456829453144,0.451478388416276,-5.01589522917195,5.27870901187909e-07,5.46324924562771e-06
"MODEL1250",372.602131740734,-2.76379258836057,0.55161977158377,-5.010321838946,5.43390836977091e-07,5.57852044735352e-06
"MODEL908",320.480205303268,2.97233225407906,0.593919227792265,5.00460688085129,5.59761473503376e-07,5.70061084615838e-06
"MODEL1025",440.933255175807,-2.38705375832714,0.477464635752848,-4.99943572692735,5.74983344362141e-07,5.80915712200798e-06
"MODEL1094",300.744074890761,10.5929061380163,2.12121706047875,4.99378697983202,5.92067002250934e-07,5.93465585720818e-06
"MODEL835",12979.980722292,2.13683026680113,0.429272770435056,4.97779131118778,6.43139431763747e-07,6.39622262996289e-06
"MODEL119",592.235293136901,4.64917650235852,0.935299411948923,4.97078950650769,6.66808122236817e-07,6.52959030467283e-06
"MODEL1396",374.257874208014,10.9083374266328,2.19444720320981,4.97088169206223,6.66491116655865e-07,6.52959030467283e-06
"MODEL745",2685.23051612064,-2.38436826807397,0.482201415392364,-4.94475584675302,7.62393544409725e-07,7.40860291628687e-06
"MODEL847",7018.35681071998,-2.29657918705486,0.466652250056705,-4.9213931504151,8.59303126819228e-07,8.28706727606726e-06
"MODEL318",1146.51815773991,-2.68321028744001,0.54677176213784,-4.90736807063489,9.23067058039009e-07,8.76465876857429e-06
"MODEL328",2362.15015508221,-2.35349105795035,0.479638572398788,-4.90680106518533,9.25738433976563e-07,8.76465876857429e-06
"MODEL726",313.945868896959,10.6550714044678,2.17184080319706,4.90600940399637,9.29480702087611e-07,8.76465876857429e-06
"MODEL1117",1123.38665781455,-2.5752916906488,0.525328613154024,-4.90224904215094,9.47456139829225e-07,8.80373478834017e-06
"MODEL544",614.919442532049,11.6244791538707,2.3707429856374,4.90330635766714,9.42368373724592e-07,8.80373478834017e-06
"MODEL579",509.697849916127,-2.3887638983315,0.487902211980642,-4.89598907255267,9.78125015580514e-07,9.02284887560866e-06
"MODEL1210",3438.94695458518,-2.1108365871128,0.43564030086564,-4.84536573617836,1.26378653268507e-06,1.15741025619287e-05
"MODEL1000",2760.22381342033,4.20333133518815,0.869649567350079,4.83336218747993,1.34246223347799e-06,1.22068173086963e-05
"MODEL930",303.402162731279,5.14948862948124,1.06702194725476,4.82603815481945,1.39275837270521e-06,1.25743362301683e-05
"MODEL9",565.124499214359,4.72012822493089,0.980938801931408,4.81184780909598,1.49541213242141e-06,1.34060538350172e-05
"MODEL1142",309.552993738801,10.634662368574,2.21693454853682,4.79701233200271,1.61049689975518e-06,1.43368010726458e-05
"MODEL1054",999.611481262241,-2.08079168426043,0.434706517797827,-4.78665858244198,1.69580952935267e-06,1.49914272976802e-05
"MODEL660",650.309123210303,11.7052562237852,2.47015607872723,4.73867069558471,2.15124771490052e-06,1.88864713177128e-05
"MODEL569",1147.12823882903,6.26783287798367,1.32894117484467,4.71641107719932,2.40041206369226e-06,2.09296202539743e-05
"MODEL76",274.68641360144,2.73980350349421,0.581408250951134,4.71235745108902,2.44867365623676e-06,2.1205180710132e-05
"MODEL99",192.890204542516,3.20955676807381,0.681368292745921,4.71045806246613,2.47160656455238e-06,2.12591564640215e-05
"MODEL550",273.414597721276,-2.85128011432628,0.606737238112494,-4.69936561533022,2.60970880659756e-06,2.22963712134141e-05
"MODEL594",138.290032373284,-3.01816677096735,0.643430215921253,-4.69074453807859,2.72212672409271e-06,2.31017821318001e-05
"MODEL362",383.086725288496,8.49798437236251,1.82224298880668,4.66347486288177,3.1091417917255e-06,2.62115066282554e-05
"MODEL52",85190.527688501,-2.04551701980405,0.439323649322502,-4.6560594289848,3.22318931428122e-06,2.69942105071052e-05
"MODEL920",495.343097726762,2.28231161280195,0.490417526554145,4.65381331054441,3.25851855025102e-06,2.7111726238363e-05
"MODEL1186",425.779067673819,11.0943162156819,2.39133387581135,4.63938403913496,3.49449147760866e-06,2.86999203290053e-05
"MODEL1368",1676.72517607606,-1.90150261232981,0.409788884626405,-4.64020056098732,3.48071197901725e-06,2.86999203290053e-05
"MODEL985",446.071015816018,11.1610544829616,2.40690181185692,4.63710419260968,3.53324329038046e-06,2.88321712093226e-05
"MODEL485",200.028369410413,10.0045227150908,2.16247530048625,4.62642172737934,3.72037375187741e-06,3.01658330327385e-05
"MODEL189",166.026306301998,9.7349770155599,2.10653755524052,4.62131662041428,3.81312300716332e-06,3.07221872665753e-05
