"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MODEL533",1050.71410752405,-3.02550216329077,0.522572610460147,-5.78963019249456,7.0541561160216e-09,1.60346394791106e-07
"MODEL1412",151.244142021464,-3.52383107607422,0.620335279450045,-5.68052663262721,1.34280640084413e-08,2.99471163358067e-07
"MODEL720",802.159062241238,3.96185817994382,0.699432198534344,5.66439204292549,1.47546719645906e-08,3.22963375224927e-07
"MODEL413",38.737679870253,-9.87773029270415,1.81444046793162,-5.44395391707964,5.2110706650391e-08,1.11990645928658e-06
"MODEL1013",280.805983784722,3.66391665088608,0.694073432560342,5.27886024591144,1.29989897410452e-07,2.67001002563687e-06
"MODEL14",119.115879091119,-3.47720192844683,0.658882986613682,-5.27741951012857,1.31015720378121e-07,2.67001002563687e-06
"MODEL548",412.389424673423,-3.34534249262349,0.633721392993438,-5.27888521613808,1.29972186962739e-07,2.67001002563687e-06
"MODEL332",116.477097853225,-4.2219352089777,0.801041720789263,-5.27055595158994,1.36011155852809e-07,2.72483366471221e-06
"MODEL529",83.8542110852096,-4.05417869149247,0.771458456397859,-5.25521323652668,1.47853063048067e-07,2.91270534204691e-06
"MODEL527",1051.75603017986,-3.34601011403865,0.64091735958119,-5.22065764644776,1.78288863320416e-07,3.3989909103989e-06
"MODEL555",132.365076864187,4.66621014782618,0.893647983308978,5.22153044037346,1.77450452676758e-07,3.3989909103989e-06
"MODEL1206",678.799518486483,2.94800144306099,0.567368677015955,5.19591856668198,2.03711424346283e-07,3.82201434249693e-06
"MODEL173",723.468360249399,-2.5491433224201,0.491994119591078,-5.18124754120807,2.20406755375272e-07,4.00801207467033e-06
"MODEL88",213.233486783026,-2.7582886884285,0.532317448114647,-5.18166124029516,2.19918360888073e-07,4.00801207467033e-06
"MODEL119",297.452048596558,5.16300263435259,0.998166466036323,5.17248656414461,2.30999114563724e-07,4.10435293768446e-06
"MODEL739",1271.77899103054,3.72841867958183,0.72100285145347,5.17115663560236,2.32649447398357e-07,4.10435293768446e-06
"MODEL696",111.89706177662,4.74829103900479,0.919722802732253,5.16274145307572,2.43359163026702e-07,4.23015486319944e-06
"MODEL214",343.540687958584,10.8263847916928,2.09890186404568,5.15811862248041,2.49443575328135e-07,4.27307689909936e-06
"MODEL616",111.731061495062,4.41887417043461,0.865142675243025,5.10768257870682,3.26133913488334e-07,5.50700408204587e-06
"MODEL699",1548.81677180752,-3.05365510183046,0.59885190661532,-5.09918239901674,3.41123718769957e-07,5.67898923360689e-06
"MODEL934",276.623652523969,3.50559195586439,0.688252551305092,5.09346743316381,3.51573464921595e-07,5.77166438246285e-06
"MODEL1082",131.410356768435,3.63744797050538,0.717847436388439,5.06716021555464,4.03794404263904e-07,6.49525199107047e-06
"MODEL749",152.196166489555,-3.88583181523264,0.767068253176517,-5.0658227597622,4.0664014157294e-07,6.49525199107047e-06
"MODEL329",123.053802554959,-3.21202035395361,0.635681522064437,-5.05287670392285,4.35204858613746e-07,6.85882857175264e-06
"MODEL1000",1365.33301009194,4.21984079815399,0.840219507682476,5.02230757506846,5.10543374291585e-07,7.94029300542965e-06
"MODEL1125",285.786609290013,10.5613357654002,2.10635565292531,5.01403253089412,5.33009690252232e-07,8.18204485556023e-06
"MODEL1164",488.098140224874,-3.14183295166767,0.627815446265404,-5.004389379645,5.60393810757389e-07,8.49212159378505e-06
"MODEL1313",116.003578881363,4.79969428697496,0.959781670958556,5.00081886558783,5.70873274865963e-07,8.54142039103251e-06
"MODEL102",306.095053082237,10.6599113557234,2.14290022963548,4.97452527574588,6.54077300148533e-07,9.5547279832825e-06
"MODEL402",2521.72043121852,-2.84624936406349,0.572188460224999,-4.97432150754015,6.54765623219867e-07,9.5547279832825e-06
"MODEL1332",667.654810341687,-3.20848168375225,0.645808838152438,-4.96816007184298,6.75911586762166e-07,9.74301823844977e-06
"MODEL1096",270.955833554616,10.4843821846847,2.11630864341047,4.95408938451857,7.2669797758553e-07,1.03488796326036e-05
"MODEL939",409.289556995682,5.62710120906037,1.14473951127269,4.91561718071939,8.85031928861264e-07,1.24536635704049e-05
"MODEL1250",190.869146497855,-2.76358829308464,0.565929676906184,-4.8832715545023,1.0434001839793e-06,1.45094002054534e-05
"MODEL594",71.6873324385375,-3.36613562933918,0.697915638839426,-4.82312681076581,1.41325056304663e-06,1.94239786688502e-05
"MODEL843",149.247105350261,6.17511764707726,1.28972567260724,4.78793109126376,1.68509484512132e-06,2.26447506139428e-05
"MODEL908",161.795132495461,3.5574210609702,0.743012495565673,4.7878347702105,1.68590359900758e-06,2.26447506139428e-05
"MODEL1357",316.405979619598,10.7084241069349,2.25340887121344,4.75209991570171,2.01314841564378e-06,2.6736420531359e-05
"MODEL1048",297.012994719744,10.6167861003847,2.23735764953352,4.74523422868859,2.08265198840694e-06,2.73521627810778e-05
"MODEL617",211.892247790687,10.129257528289,2.13574869944519,4.74271974550204,2.10867895907362e-06,2.73896541717035e-05
"MODEL244",27.9342707176491,-8.43561115717342,1.79201951182923,-4.70732104281756,2.50993456343661e-06,3.19004586449685e-05
"MODEL377",412.077791881495,2.4521282491115,0.520857540449555,4.70786742761764,2.50321807181967e-06,3.19004586449685e-05
"MODEL1221",184.884691970794,9.93389474850747,2.1356532986645,4.65145478187844,3.29601552231786e-06,4.14456419934012e-05
"MODEL1098",290.828918917987,10.5857397073499,2.28056015515297,4.64172790330971,3.45507653616441e-06,4.29884259552245e-05
"MODEL706",546.366101179079,2.67595731606455,0.576902188773186,4.63849395641075,3.5095719622206e-06,4.32116047848411e-05
"MODEL745",1336.15691856237,-2.36279540798139,0.509736400115046,-4.63532799982131,3.56371943532605e-06,4.34259419851071e-05
"MODEL1288",192.114273167434,9.98870783932949,2.16200820743315,4.62010634602937,3.83543401630385e-06,4.57927576492036e-05
"MODEL1422",13026.8039349185,-5.41514825121588,1.1716173318217,-4.62194276589958,3.80162910673276e-06,4.57927576492036e-05
"MODEL1282",507.228601882993,2.95490752648486,0.640885050711054,4.61066695690035,4.01379132168516e-06,4.74430134223186e-05
"MODEL328",1161.24656383311,-2.43224592737902,0.528025761644326,-4.60630163158093,4.09893705047516e-06,4.79697385511054e-05
"MODEL509",455.84892291958,-2.31179580070992,0.502949304451579,-4.59647877081912,4.29690730970062e-06,4.97935729418248e-05
"MODEL695",696.477370531427,2.18228694751419,0.475599486566854,4.58849727376111,4.46448137100344e-06,5.12331745682142e-05
"MODEL124",170.858830964447,-2.58234102784794,0.563877403203169,-4.57961431541442,4.65834130126179e-06,5.29438405585715e-05
"MODEL672",25.025226818836,-9.24736730988784,2.02562523091002,-4.56519161036191,4.99038315045554e-06,5.60300333426891e-05
"MODEL874",681.73372168222,-4.17085660423431,0.913909120325674,-4.5637542196187,5.0246899613579e-06,5.60300333426891e-05
"MODEL1207",151.930319802689,9.64878394434987,2.1159865101591,4.55994586828645,5.11668085956034e-06,5.65225866915918e-05
"MODEL1101",299.596461057227,-4.49233601878843,0.98623490317087,-4.55503653779135,5.23764735424523e-06,5.73231404881283e-05
"MODEL544",322.21896143909,10.7342114125509,2.36511385280867,4.53856012039489,5.663964827812e-06,6.14202424447136e-05
"MODEL726",164.324230002069,9.76365154432575,2.15584114194598,4.52892903579739,5.928340390503e-06,6.37027121961322e-05
"MODEL835",6543.62417297168,2.15517918735731,0.478007937639359,4.50866819911119,6.52358394400239e-06,6.88471091233109e-05
"MODEL847",3370.94715109008,-2.19885592250207,0.487677074525837,-4.50883594362109,6.51842886018962e-06,6.88471091233109e-05
"MODEL1396",183.385647198871,9.92145492720301,2.20384952222838,4.50187493616674,6.73566143673462e-06,7.04562107807108e-05
"MODEL570",974.223177139438,3.20725371258018,0.714756316597844,4.4871988370055,7.21657178483309e-06,7.48244548216905e-05
"MODEL1070",365.225088942471,3.02168607362607,0.675134125519216,4.47568262277103,7.61675605807821e-06,7.82870057447691e-05
"MODEL1094",140.372666342982,9.5358669285221,2.1471338791261,4.4412074259679,8.94555127668872e-06,9.1152082836604e-05
"MODEL1025",223.789261242231,-2.42637165324789,0.548925953160811,-4.42021667818113,9.86019840238686e-06,9.96132864241134e-05
"MODEL1210",1683.3710321543,-2.1146285983053,0.479014468652053,-4.41454013749495,1.0122493468244e-05,0.000101396502368342
"MODEL705",445.609456845884,-2.53061620872999,0.575349103788182,-4.39840123512498,1.09051232525754e-05,0.00010771505617009
"MODEL969",149.880841307719,2.72423039333412,0.619453476465844,4.39779660108879,1.09355386974711e-05,0.00010771505617009
"MODEL1142",154.56490496486,9.67496876701996,2.20509393096697,4.38755403166764,1.146325216909e-05,0.00010927067793439
"MODEL1334",489.77531964729,11.3382802979082,2.58243330592472,4.39054138277084,1.13068793245872e-05,0.00010927067793439
"MODEL464",122.059186901251,9.33451190583307,2.12744930261711,4.38765421782324,1.14579746349604e-05,0.00010927067793439
"MODEL785",132.060832565999,2.94442846900228,0.671042386636762,4.38784274680417,1.1448049729299e-05,0.00010927067793439
